,wikipedia_sv,wikidata_qid,birthdate_wd,has_P54_IFK
0,Ishaq Abdulrazak,Q96361469,+2002-05-05T00:00:00Z,True
1,Samuel Adegbenro,Q19152611,+1995-12-03T00:00:00Z,False
2,Viktor Agardius,Q5543358,+1989-10-23T00:00:00Z,False
3,Enis Ahmetovic,Q19787867,+1992-01-26T00:00:00Z,False
4,Astrit Ajdarević,Q751101,+1990-04-17T00:00:00Z,True
5,Ernst Albihn,Q100235669,+1892-03-11T00:00:00Z,False
6,Anders Alé,Q5545911,+1967-12-08T00:00:00Z,False
7,Albert Aleksanjan,Q138001022,+2006-03-10T00:00:00Z,False
8,Andreas Alm,Q495742,+1973-06-19T00:00:00Z,True
9,Pontus Almqvist,Q42393756,+1999-07-10T00:00:00Z,True
10,Kevin Álvarez,Q16297373,+1996-08-03T00:00:00Z,True
11,Stefan Alvén,Q2335944,+1968-12-12T00:00:00Z,True
12,Kevin Amuneke,Q1365474,+1986-05-10T00:00:00Z,True
13,David Andersson (fotbollsspelare),Q124620884,+2003-09-16T00:00:00Z,False
14,"Gösta ""Banan"" Andersson",Q138496989,+1904-09-29T00:00:00Z,False
15,Kennet Andersson,Q352241,+1967-10-06T00:00:00Z,False
16,Leif Andersson (fotbollsspelare född 1952),Q138412902,+1952-02-04T00:00:00Z,False
17,Sebastian Andersson,Q553464,+1991-07-15T00:00:00Z,True
18,Sune Andersson (fotbollsspelare),Q1377048,+1921-02-22T00:00:00Z,False
19,Åke Andersson (fotbollsspelare född 2007),Q130530713,+2007-05-08T00:00:00Z,True
20,Andri Guðjohnsen,Q96036411,+2002-01-29T00:00:00Z,False
21,Filip Apelstav,Q3745026,+1971-09-18T00:00:00Z,True
22,Ari Freyr Skúlason,Q2861144,+1987-05-14T00:00:00Z,False
23,Arnór Ingvi Traustason,Q3623650,+1993-04-30T00:00:00Z,True
24,Arnór Sigurðsson,Q47067187,+1999-05-15T00:00:00Z,False
25,Kristoffer Arvhage,Q1789422,+1977-11-03T00:00:00Z,True
26,Sven Axbom,Q1513608,+1926-10-15T00:00:00Z,False
27,Lennart Backman,Q246944,+1934-02-07T00:00:00Z,False
28,Marcus Baggesen,Q117455708,+2003-07-17T00:00:00Z,False
29,Nuredin Bakiu,Q5564519,+1982-01-19T00:00:00Z,False
